Single Measure,Modality,no,Item,Description,ItemType,Required,Values,Unnamed: 8
0,RBD Screening Questionnaire,13,code_rbd09_sleep_is_disturbed,"RBD 09. Sleep Is Disturbed {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,14,code_rbd10a_stroke,"RBD 10a Stroke {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,15,code_rbd10b_head_trauma,"RBD 10b Head Trauma {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,16,code_rbd10c_parkinsonism,"RBD 10c Parkinsonism {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,17,code_rbd10d_rls,"RBD 10d RLS {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,18,code_rbd10e_narcolepsy,"RBD 10e Narcolepsy {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,19,code_rbd10f_depression,"RBD 10f Depression {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,20,code_rbd10g_epilepsy,"RBD 10g Epilepsy {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,21,code_rbd10h_brain_inflammatory_disease,"RBD 10h Inflammatory Disease Of The Brain {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,22,code_rbd10i_other,"RBD 10i Other {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,23,code_rbd10i_other_comment,RBD 10i Other (comment),string,nullable,,
0,RBD Screening Questionnaire,24,code_rbd10_nervous_system_disease,"RBD 10. Nervous system Disease {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",
0,RBD Screening Questionnaire,25,rbd_summary_score,RBD Summary Score,integer,nullable,(y>=0) & (y<=13),
0,RBD Single-Question Screen ,1,rbd1q,A single question measure screening for REM sleep behavior disorder,string,nullable,"['No', 'Yes', 'Unknown']",
0,Epworth Sleepiness Scale,1,ess_info_source,ESS Source Of Information,string,nullable,,
0,Epworth Sleepiness Scale,2,code_ess0101_sitting_and_reading,"ESS - Sitting And Reading (ESS0101) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,3,code_ess0102_watching_tv,"ESS - Watching TV (ESS0102) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,4,code_ess0103_sitting_inactive_in_public_place,"ESS - Sitting, Inactive In A Public Place (ESS0103) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,5,code_ess0104_passenger_in_car_for_hour,"ESS - As A Passenger In A Car For An Hour Without A Break (ESS0104) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,6,code_ess0105_lying_down_to_rest_in_afternoon,"ESS - Lying Down To Rest In The Afternoon When Circumstances Permit (ESS0105) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,7,code_ess0106_sitting_and_talking_to_someone,"ESS - Sitting And Talking To Someone (ESS0106) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,8,code_ess0107_sitting_after_lunch,"ESS - Sitting Quietly After A Lunch Without Alcohol (ESS0107) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,9,code_ess0108_car_stopped_in_traffic,"ESS - In A Car, While Stopped For A Few Minutes In The Traffic (ESS0108) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",
0,Epworth Sleepiness Scale,10,ess_total_score,ESS - Total score,integer,nullable,(y>=0) & (y<=24),
0,Geriatric Depression Scale: Short Form,1,code_gds01_satisfied_with_life,"GDS15 - Are you basically satisfied with your life?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,2,code_gds02_drop_interests,"GDS15 - Have you dropped many of your activities and interests?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,3,code_gds03_empty,"GDS15 - Do you feel that your life is empty?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,4,code_gds04_bored,"GDS15 - Do you often get bored?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,5,code_gds05_good_spirits,"GDS15 - Are you in good spirits most of the time?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,6,code_gds06_afraid,"GDS15 - Are you afraid that something bad is going to happen to you?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,7,code_gds07_happy,"GDS15 - Do you feel happy most of the time?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,8,code_gds08_helpless,"GDS15 - Do you often feel helpless?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,9,code_gds09_home_than_going_out,"GDS15 - Do you prefer to stay at home, rather than going out and doing new things?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,10,code_gds10_memory_problems,"GDS15 - Do you feel you have more problems with memory than most people?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,11,code_gds11_wonderful_to_be_alive,"GDS15 - Do you think it is wonderful to be alive?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,12,code_gds12_worthless,"GDS15 - Do you feel pretty worthless the way you are now?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,13,code_gds13_full_of_energy,"GDS15 - Do you feel full of energy?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,14,code_gds14_hopless,"GDS15 - Do you feel that your situation is hopeless?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,15,code_gds15_not_better_off,"GDS15 - Do you think that most people are better off than you?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",
0,Geriatric Depression Scale: Short Form,16,gds15_total_score,GDS 15 - Total score,integer,nullable,(y>=0) & (y<=15),
0,Orthostatic hypotension,1,sbp_standing,Systolic blood pressure at standing position,numeric,nullable,(y>=0) & (y<=300),
0,Orthostatic hypotension,2,dbp_standing,Diastolic blood pressure at standing position,numeric,nullable,(y>=0) & (y<=300),
0,Orthostatic hypotension,3,hr_standing,Heart rate at standing position,numeric,nullable,(y>=0) & (y<=200),
0,Orthostatic hypotension,4,sbp_supine,Systolic blood pressure at supine position,numeric,nullable,(y>=0) & (y<=300),
0,Orthostatic hypotension,5,dbp_supine,Diastolic blood pressure at supine position,numeric,nullable,(y>=0) & (y<=300),
0,Orthostatic hypotension,6,hr_supine,Heart rate at supine position,numeric,nullable,(y>=0) & (y<=200),
0,Orthostatic hypotension,7,sbp_sitting,Systolic blood pressure at sitting position,numeric,nullable,(y>=0) & (y<=300),
0,Orthostatic hypotension,8,dbp_sitting,Diastolic blood pressure at sitting position,numeric,nullable,(y>=0) & (y<=300),
0,Orthostatic hypotension,9,hr_sitting,Heart rate at sitting position,numeric,nullable,(y>=0) & (y<=200),
0,Schwab England ADL,1,schwab_england_pct_adl_score,Schwab And England Percent ADL Score,numeric,nullable,(y>=0) & (y<=100),
0,Olfactory test,1,smell_test_results,"Anosmia, hyposmia, norsomnia based on the age and sex standardized cut-off",string,nullable,"[""Anosmia"", ""Hyposmia"", ""Normosmia""]",
0,Olfactory test,2,smell_test_name,"Name of the used smell test (e.g. sniffin-stick, bsit, upsit)",string,nullable,,
0,Olfactory test,3,smell_test_version,"Version of the smell test used (Free text - British, German, abbreviated etc.)",string,nullable,,
0,Olfactory test,4,smell_test_num_smells,Total number of smells assessed in the test,integer,nullable,(y == 12),
0,Olfactory test,5,smell_test_num_correct,Total number of smells correctly identified by participant,integer,nullable,(y >= 0) & (y <= 12),
0,Olfactory test,6,smell_test_score,Score of the smell test (the score used for hyposmia assignment); this may be the same as the number of smells correct,numeric,nullable,(y>=0) & (y<=9999),
0,Olfactory test,7,smell_test_score_best,Best score possible ,numeric,nullable,(y>=0) & (y<=9999),
0,Olfactory test,8,smell_test_threshold_type,"Indiate the type of hyposmia cut-off/threshold used by site/ test:  score, centile, quantile",string,nullable,,
0,Olfactory test,9,smell_test_threshold,Numeric hyposmia cut-off/threshold used by site/ test,numeric,nullable,(y>=0) & (y<=9999),
0,Misc Depression Scale,1,is_depressed,Does the patient have depression based on the cut-off score of the scale used?,string,nullable,"[""Yes"",""No"",""Unknown""]",
0,Misc Depression Scale,2,depress_test_name,"Test used for depression screening (e.g. GDS15, HDRS, BDI, PHQ9 (DPUK), GHQ)",string,nullable,,
0,Misc Depression Scale,3,depress_test_score,Total score on the depression scale used,numeric,nullable,(y>=0) & (y<=100),
0,PDQ-39,1,pdq39_01_doing_leisure_activity,PDQ-39-Q1: Had difficulty doing the leisure activities you would like to do?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,2,pdq39_02_looking_after_home,"PDQ-39-Q2: Had difficulty looking after your home, for example, housework, cooking, or yardwork?",string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,3,pdq39_03_carrying_shopping_bags,PDQ-39-Q3: Had difficulty carrying grocery bags?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,4,pdq39_04_walking_half_mile,PDQ-39-Q4: Had problems walking half a mile?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,5,pdq39_05_walking_100_yards,PDQ-39-Q5: Had problems walking 100 yards (approximately 1 block)?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,6,pdq39_06_getting_around_house,PDQ-39-Q6: Had problems getting around the house as easily as you would like?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,7,pdq39_07_getting_around_in_public,PDQ-39-Q7: Had difficulty getting around in public places?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,8,pdq39_08_need_someone_to_accompany,PDQ-39-Q8: Needed someone else to accompany you when you went out?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,9,pdq39_09_worried_about_falling,PDQ-39-Q9: Felt frightened or worried about falling in public?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,10,pdq39_10_confined_to_house,PDQ-39-Q10: Been confined to the house more than you would like?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,11,pdq39_11_showering,PDQ-39-Q11: Had difficulty showering and bathing?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,12,pdq39_12_dressing,PDQ-39-Q12: Had difficulty dressing?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,13,pdq39_13_buttons_and_shoelaces,PDQ-39-Q13: Had difficulty with buttons or shoelaces?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,14,pdq39_14_writing,PDQ-39-Q14: Had problems writing clearly?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,15,pdq39_15_cutting_food,PDQ-39-Q15: Had difficulty cutting up your food?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,16,pdq39_16_spill_drink,PDQ-39-Q16: Had difficulty holding a drink without spilling it?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,17,pdq39_17_depressed,PDQ-39-Q17: Felt depressed?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,18,pdq39_18_lonely,PDQ-39-Q18: Felt isolated and lonely?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,19,pdq39_19_weepy,PDQ-39-Q19: Felt weepy or tearful?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,20,pdq39_20_angry,PDQ-39-Q20: Felt angry or bitter?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,21,pdq39_21_anxious,PDQ-39-Q21: Felt anxious?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,22,pdq39_22_worried_about_future,PDQ-39-Q22: Felt worried about your future?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,23,pdq39_23_hide_pd_from_people,PDQ-39-Q23: Felt you had to hide your Parkinson's from people?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,24,pdq39_24_avoid_eat_drink_in_public,PDQ-39-Q24: Avoided situations which involve eating or drinking in public?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,25,pdq39_25_embarassed_in_public,PDQ-39-Q25: Felt embarrassed in public?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,26,pdq39_26_worried_about_reactions,PDQ-39-Q26: Felt worried about other people's reaction to you?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,27,pdq39_27_close_personal_relations,PDQ-39-Q27: Had problems with your close personal relationships?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,28,pdq39_28_support_from_spouse,PDQ-39-Q28: Lacked the support you needed from your spouse or partner?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all"", ""No spouse or partner""]",
0,PDQ-39,29,pdq39_29_support_from_family,PDQ-39-Q29: Lacked the support you needed from your family or close friends?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,30,pdq39_30_sleep_in_day,PDQ-39-Q30: Unexpectedly fallen asleep during the day?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,31,pdq39_31_problem_with_concentration,"PDQ-39-Q31: Had problems with your concentration, for example when reading or watching TV?",string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,32,pdq39_32_memory_is_failing,PDQ-39-Q32: Felt your memory was failing?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,33,pdq39_33_hallucinations,PDQ-39-Q33: Had distressing dreams or hallucinations?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,34,pdq39_34_speaking,PDQ-39-Q34: Had difficulty speaking?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,35,pdq39_35_unable_to_communicate,PDQ-39-Q35: Felt unable to communicate effectively?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,36,pdq39_36_felt_ignored,PDQ-39-Q36: Felt ignored by people?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,37,pdq39_37_muscle_cramps,PDQ-39-Q37: Had painful muscle cramps or spasms?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,38,pdq39_38_joint_pains,PDQ-39-Q38: Had aches and pains in your joints or body?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,39,pdq39_39_hot_or_cold,PDQ-39-Q39: Felt uncomfortably hot or cold?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",
0,PDQ-39,40,pdq39_mobility_score,PDQ-39-Total Score-Mobility (item 1-10),integer,nullable,(y>=0) & (y<=40),
0,PDQ-39,41,pdq39_adl_score,"PDQ-39-Total Score-Activities Of Daily Living (ADL, item 11-16)",integer,nullable,(y>=0) & (y<=24),
0,PDQ-39,42,pdq39_emotional_score,"PDQ-39-Total Score-Emotional Well Being (item 17-22, max )",integer,nullable,(y>=0) & (y<=24),
0,PDQ-39,43,pdq39_stigma_score,PDQ-39-Total Score-Stigma (item 23-26),integer,nullable,(y>=0) & (y<=16),
0,PDQ-39,44,pdq39_social_score,PDQ-39-Total Score-Social Support (item 27-29),integer,nullable,(y>=0) & (y<=12),
0,PDQ-39,45,pdq39_cognition_score,"PDQ-39-Total Score-Cognitive Impairment (Cognitions, item 30-33)",integer,nullable,(y>=0) & (y<=16),
0,PDQ-39,46,pdq39_communication_score,PDQ-39-Total Score-Communication (item 34-36),integer,nullable,(y>=0) & (y<=12),
0,PDQ-39,47,pdq39_discomfort_score,PDQ-39-Total Score-Bodily Discomfort (item 37-39),integer,nullable,(y>=0) & (y<=12),
0,PDQ-8,1,pdq8_total_score,PDQ-8 (Short form of PDQ-39) Total Score,integer,nullable,(y>=0) & (y<=32),
0,WBC counts,1,neutrophil_count,/microL,numeric,nullable,(y>=0) & (y<=100000),
0,WBC counts,2,lymphocyte_count,/microL,numeric,nullable,(y>=0) & (y<=100000),
0,WBC counts,3,eosinophil_count,/microL,numeric,nullable,(y>=0) & (y<=100000),
0,WBC counts,4,basophil_count,/microL,numeric,nullable,(y>=0) & (y<=100000),
0,WBC counts,5,monocyte_count,/microL,numeric,nullable,(y>=0) & (y<=100000),
0,King's PD pain scale,1,king_01_joints_severity,Does the patient experience pain around his/her joints? This includes arthritic pain. ,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,2,king_01_joints_freq,Frequency of joint pain,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,3,king_02_deep_body_severity,"Does the patient experience pain deep within the body? (A generalised constant, dull, aching pain – central pain) ",integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,4,king_02_deep_body_freq,Frequency of pain deep within the body,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,5,king_03_organ_severity,"Does the patient experience pain related to an internal organ? (For example, pain around the liver, stomach or bowels – visceral pain)",integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,6,king_03_organ_freq,Frequency of pain related to an internal organ,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,7,king_04_dyskinetic_severity,Does the patient experience dyskinetic pain? (pain related to abnormal involuntary movements),integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,8,king_04_dyskinetic_freq,Frequency of dyskinetic pain,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,9,king_05_offdystonia_specific_severity,Does the patient experience “off” period dystonia in a specific region? (in the area of dystonia),integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,10,king_05_offdystonia_specific_freq,"Frequency of ""off"" period dystonia",integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,11,king_06_offdystonia_general_severity,Does the patient experience generalised “off” period pain? (pain in whole body or areas distant to dystonia),integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,12,king_06_offdystonia_general_freq,"Frequency of generalised ""off"" period pain",integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,13,king_07_leg_movement_night_severity,Does the patient experience pain related to jerking leg movements during the night (PLM) or an unpleasant burning sensation in the legs which improves with movement (RLS)?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,14,king_07_leg_movement_night_freq,Frequency of pain related to jerking leg movements during the night,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,15,king_08_turning_in_bed_severity,Does the patient experience pain related to difficulty turning in bed at night?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,16,king_08_turning_in_bed_freq,Frequency of pain related to difficulty turning in bed,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,17,king_09_chewing_severity,Does the patient experience pain when chewing?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,18,king_09_chewing_freq,Frequency of pain while chewing,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,19,king_10_grinding_teeth_night_severity,Does the patient have pain due to grinding his/her teeth during the night?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,20,king_10_grinding_teeth_night_freq,Frequency of pain due to grinding teeth at night,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,21,king_11_burning_mouth_severity,Does the patient have burning mouth syndrome?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,22,king_11_burning_mouth_freq,Frequency of burning mouth symptom,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,23,king_12_burning_limbs_severity,Does the patient experience a burning pain in his/her limbs? (often associated with swelling or dopaminergic treatment),integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,24,king_12_burning_limbs_freq,Frequency of burning pain in limbs,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,25,king_13_lower_abs_severity,Does the patient experience generalised lower abdominal pain?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,26,king_13_lower_abs_freq,Frequency of generalised lower abdominal pain,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,27,king_14_shooting_limbs_severity,Does the patient experience a shooting pain/pins and needles down the limbs?,integer,nullable,"y.isin([0,1,2,3])",
0,King's PD pain scale,28,king_14_shooting_limbs_freq,Frequency of shooting pain/pins and needles down the limbs,integer,nullable,"y.isin([0,1,2,3,4])",
0,King's PD pain scale,29,king_muscleskeletal,Domain 1 - musculoskeletal pain total,integer,nullable,(y>=0) & (y<=12),
0,King's PD pain scale,30,king_chronic,Domain 2 - chronic pain total,integer,nullable,(y>=0) & (y<=24),
0,King's PD pain scale,31,king_fluctuation_related,Domain 3 - fluctuation-related pain total,integer,nullable,(y>=0) & (y<=36),
0,King's PD pain scale,32,king_nocturnal,Domain 4 - nocturnal pain total,integer,nullable,(y>=0) & (y<=24),
0,King's PD pain scale,33,king_orofacial,Domain 5 - oro-facial pain total,integer,nullable,(y>=0) & (y<=36),
0,King's PD pain scale,34,king_discolouration,Domain 6 - discolouration; oedema/swelling total,integer,nullable,(y>=0) & (y<=24),
0,King's PD pain scale,35,king_radicular,Domain 7 - radicular pain total,integer,nullable,(y>=0) & (y<=12),
0,MMSE,1,mmse_01_year,MMSE 1 - year,integer,nullable,"y.isin([0,1])",
0,MMSE,2,mmse_02_season,MMSE 2 - season,integer,nullable,"y.isin([0,1])",
0,MMSE,3,mmse_03_date,MMSE 3 - date,integer,nullable,"y.isin([0,1])",
0,MMSE,4,mmse_04_day,MMSE 4 - day,integer,nullable,"y.isin([0,1])",
0,MMSE,5,mmse_05_month,MMSE 5 - month,integer,nullable,"y.isin([0,1])",
0,MMSE,31,mmse_orientation_time,"x[[""mmse_01_year"",""mmse_02_season"",""mmse_03_date"",""mmse_04_day"",""mmse_05_month""]].sum(axis=1)",integer,nullable,(y>=0) & (y<=5),
0,MMSE,6,mmse_06_state,MMSE 6 - state,integer,nullable,"y.isin([0,1])",
0,MMSE,7,mmse_07_county,MMSE 7 - county,integer,nullable,"y.isin([0,1])",
0,MMSE,8,mmse_08_town,MMSE 8 - town,integer,nullable,"y.isin([0,1])",
0,MMSE,9,mmse_09_hospital,MMSE 9 - hospital,integer,nullable,"y.isin([0,1])",
0,MMSE,10,mmse_10_floor,MMSE 10 - floor,integer,nullable,"y.isin([0,1])",
0,MMSE,32,mmse_orientation_place,sum MMSE 6-10 orientation/place ,integer,nullable,(y>=0) & (y<=5),
0,MMSE,11,mmse_11_immediate_recall_1,MMSE 11 - immediate recall 1,integer,nullable,"y.isin([0,1])",
0,MMSE,12,mmse_12_immediate_recall_2,MMSE 12 - immediate recall 2,integer,nullable,"y.isin([0,1])",
0,MMSE,13,mmse_13_immediate_recall_3,MMSE 13 - immediate recall 3,integer,nullable,"y.isin([0,1])",
0,MMSE,33,mmse_immediate_recall,sum MMSE 11-13 recall,integer,nullable,(y>=0) & (y<=3),
0,MMSE,14,mmse_14_serial7_1,MMSE 14 - serial 7 item 1,integer,nullable,"y.isin([0,1])",
0,MMSE,15,mmse_15_serial7_2,MMSE 15 - serial 7 item 2,integer,nullable,"y.isin([0,1])",
0,MMSE,16,mmse_16_serial7_3,MMSE 16 - serial 7 item 3,integer,nullable,"y.isin([0,1])",
0,MMSE,17,mmse_17_serial7_4,MMSE 17 - serial 7 item 4,integer,nullable,"y.isin([0,1])",
0,MMSE,18,mmse_18_serial7_5,MMSE 18 - serial 7 item 5,integer,nullable,"y.isin([0,1])",
0,MMSE,34,mmse_serial7,sum MMSE 14-18 serial 7,integer,nullable,(y>=0) & (y<=5),
0,MMSE,19,mmse_19_delayed_recall_1,MMSE 19 - delayed recall item 1,integer,nullable,"y.isin([0,1])",
0,MMSE,20,mmse_20_delayed_recall_2,MMSE 20 - delayed recall item 2,integer,nullable,"y.isin([0,1])",
